,Mediana,Date,ipca_anual
2018-01,0.04003125,2022.0,0.0578484195960775
2018-02,0.04,2022.0,0.0578484195960775
2018-03,0.04,2022.0,0.0578484195960775
2018-04,0.04,2022.0,0.0578484195960775
2018-05,0.04,2022.0,0.0578484195960775
2018-06,0.04,2022.0,0.0578484195960775
2018-07,0.03884090909090909,2022.0,0.0578484195960775
2018-08,0.0375,2022.0,0.0578484195960775
2018-09,0.0375,2022.0,0.0578484195960775
2018-10,0.0375,2022.0,0.0578484195960775
2018-11,0.0375,2022.0,0.0578484195960775
2018-12,0.0375,2022.0,0.0578484195960775
2019-01,0.0375,2022.0,0.0578484195960775
2019-02,0.0375,2022.0,0.0578484195960775
2019-03,0.0375,2022.0,0.0578484195960775
2019-04,0.0375,2022.0,0.0578484195960775
2019-05,0.0375,2022.0,0.0578484195960775
2019-06,0.0375,2022.0,0.0578484195960775
2019-07,0.03662173913043478,2022.0,0.0578484195960775
2019-08,0.035,2022.0,0.0578484195960775
2019-09,0.035,2022.0,0.0578484195960775
2019-10,0.035,2022.0,0.0578484195960775
2019-11,0.035,2022.0,0.0578484195960775
2019-12,0.035,2022.0,0.0578484195960775
2020-01,0.035,2022.0,0.0578484195960775
2020-02,0.035,2022.0,0.0578484195960775
2020-03,0.035,2022.0,0.0578484195960775
2020-04,0.035,2022.0,0.0578484195960775
2020-05,0.035,2022.0,0.0578484195960775
2020-06,0.035,2022.0,0.0578484195960775
2020-07,0.035,2022.0,0.0578484195960775
2020-08,0.035,2022.0,0.0578484195960775
2020-09,0.035,2022.0,0.0578484195960775
2020-10,0.035,2022.0,0.0578484195960775
2020-11,0.035,2022.0,0.0578484195960775
2020-12,0.035,2022.0,0.0578484195960775
2021-01,0.035,2022.0,0.0578484195960775
2021-02,0.03493888888888889,2022.0,0.0578484195960775
2021-03,0.03504543478260869,2022.0,0.0578484195960775
2021-04,0.03568645,2022.0,0.0578484195960775
2021-05,0.036452,2022.0,0.0578484195960775
2021-06,0.03756285714285715,2022.0,0.0578484195960775
2021-07,0.03769518181818182,2022.0,0.0578484195960775
2021-08,0.03891677272727273,2022.0,0.0578484195960775
2021-09,0.04062095238095238,2022.0,0.0578484195960775
2021-10,0.04274165,2022.0,0.0578484195960775
2021-11,0.04812935,2022.0,0.0578484195960775
2021-12,0.05024521739130435,2022.0,0.0578484195960775
2022-01,0.051175952380952384,2022.0,0.0578484195960775
2022-02,0.0550491052631579,2022.0,0.0578484195960775
2022-03,0.06359613636363635,2022.0,0.0578484195960775
2022-04,0.07418936842105263,2022.0,0.0578484195960775
2022-05,0.08339813636363637,2022.0,0.0578484195960775
2022-06,0.08476,2022.0,0.0578484195960775
2022-07,0.07533795238095238,2022.0,0.0578484195960775
2022-08,0.06936273913043478,2022.0,0.0578484195960775
2022-09,0.06154852380952382,2022.0,0.0578484195960775
2022-10,0.05642369999999999,2022.0,0.0578484195960775
2022-11,0.05798154999999999,2022.0,0.0578484195960775
2022-12,0.05768536363636364,2022.0,0.0578484195960775
