,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
28,1,Brasil,30,Número-índice,125.82,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
29,1,Brasil,30,Número-índice,99.61,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
30,1,Brasil,30,Número-índice,101.42,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
31,1,Brasil,30,Número-índice,103.38,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
32,1,Brasil,30,Número-índice,109.15,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
33,1,Brasil,30,Número-índice,88.55,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
34,1,Brasil,30,Número-índice,106.77,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
35,1,Brasil,30,Número-índice,100.41,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
36,1,Brasil,30,Número-índice,119.30,1,Brasil,199604,4º trimestre 1996,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
37,1,Brasil,30,Número-índice,101.86,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
38,1,Brasil,30,Número-índice,104.18,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
39,1,Brasil,30,Número-índice,103.91,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
40,1,Brasil,30,Número-índice,104.41,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
41,1,Brasil,30,Número-índice,106.65,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
42,1,Brasil,30,Número-índice,100.32,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
43,1,Brasil,30,Número-índice,107.68,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
44,1,Brasil,30,Número-índice,105.09,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
45,1,Brasil,30,Número-índice,118.10,1,Brasil,199701,1º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
46,1,Brasil,30,Número-índice,100.38,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
47,1,Brasil,30,Número-índice,104.90,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
48,1,Brasil,30,Número-índice,104.48,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
49,1,Brasil,30,Número-índice,105.01,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
50,1,Brasil,30,Número-índice,106.97,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
51,1,Brasil,30,Número-índice,99.92,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
52,1,Brasil,30,Número-índice,109.20,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
53,1,Brasil,30,Número-índice,111.37,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
54,1,Brasil,30,Número-índice,123.86,1,Brasil,199702,2º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
55,1,Brasil,30,Número-índice,103.63,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
56,1,Brasil,30,Número-índice,106.47,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
57,1,Brasil,30,Número-índice,104.97,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
58,1,Brasil,30,Número-índice,106.14,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
59,1,Brasil,30,Número-índice,105.87,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
60,1,Brasil,30,Número-índice,98.35,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
61,1,Brasil,30,Número-índice,111.34,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
62,1,Brasil,30,Número-índice,114.43,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93407,Exportação de bens e serviços
63,1,Brasil,30,Número-índice,124.86,1,Brasil,199703,3º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93408,Importação de bens e serviços (-)
64,1,Brasil,30,Número-índice,112.58,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90687,Agropecuária - total
65,1,Brasil,30,Número-índice,106.09,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90691,Indústria - total
66,1,Brasil,30,Número-índice,106.25,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90696,Serviços - total
67,1,Brasil,30,Número-índice,107.22,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),90707,PIB a preços de mercado
68,1,Brasil,30,Número-índice,106.02,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93404,Despesa de consumo das famílias
69,1,Brasil,30,Número-índice,99.05,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93405,Despesa de consumo da administração pública
70,1,Brasil,30,Número-índice,110.61,1,Brasil,199704,4º trimestre 1997,584,Série encadeada do índice de volume trimestral com ajuste sazonal (Base: média 1995 = 100),93406,Formação bruta de capital fixo
