,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
450,1,Brasil,30,Número-índice,4843.4100000000000,1,Brasil,201705,maio 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
451,1,Brasil,30,Número-índice,4832.2700000000000,1,Brasil,201706,junho 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
452,1,Brasil,30,Número-índice,4843.8700000000000,1,Brasil,201707,julho 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
453,1,Brasil,30,Número-índice,4853.0700000000000,1,Brasil,201708,agosto 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
454,1,Brasil,30,Número-índice,4860.8300000000000,1,Brasil,201709,setembro 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
455,1,Brasil,30,Número-índice,4881.2500000000000,1,Brasil,201710,outubro 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
456,1,Brasil,30,Número-índice,4894.9200000000000,1,Brasil,201711,novembro 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
457,1,Brasil,30,Número-índice,4916.4600000000000,1,Brasil,201712,dezembro 2017,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
458,1,Brasil,30,Número-índice,4930.7200000000000,1,Brasil,201801,janeiro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
459,1,Brasil,30,Número-índice,4946.5000000000000,1,Brasil,201802,fevereiro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
460,1,Brasil,30,Número-índice,4950.9500000000000,1,Brasil,201803,março 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
461,1,Brasil,30,Número-índice,4961.8400000000000,1,Brasil,201804,abril 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
462,1,Brasil,30,Número-índice,4981.6900000000000,1,Brasil,201805,maio 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
463,1,Brasil,30,Número-índice,5044.4600000000000,1,Brasil,201806,junho 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
464,1,Brasil,30,Número-índice,5061.1100000000000,1,Brasil,201807,julho 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
465,1,Brasil,30,Número-índice,5056.5600000000000,1,Brasil,201808,agosto 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
466,1,Brasil,30,Número-índice,5080.8300000000000,1,Brasil,201809,setembro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
467,1,Brasil,30,Número-índice,5103.6900000000000,1,Brasil,201810,outubro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
468,1,Brasil,30,Número-índice,5092.9700000000000,1,Brasil,201811,novembro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
469,1,Brasil,30,Número-índice,5100.6100000000000,1,Brasil,201812,dezembro 2018,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
470,1,Brasil,30,Número-índice,5116.9300000000000,1,Brasil,201901,janeiro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
471,1,Brasil,30,Número-índice,5138.9300000000000,1,Brasil,201902,fevereiro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
472,1,Brasil,30,Número-índice,5177.4700000000000,1,Brasil,201903,março 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
473,1,Brasil,30,Número-índice,5206.9800000000000,1,Brasil,201904,abril 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
474,1,Brasil,30,Número-índice,5213.7500000000000,1,Brasil,201905,maio 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
475,1,Brasil,30,Número-índice,5214.2700000000000,1,Brasil,201906,junho 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
476,1,Brasil,30,Número-índice,5224.1800000000000,1,Brasil,201907,julho 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
477,1,Brasil,30,Número-índice,5229.9300000000000,1,Brasil,201908,agosto 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
478,1,Brasil,30,Número-índice,5227.8400000000000,1,Brasil,201909,setembro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
479,1,Brasil,30,Número-índice,5233.0700000000000,1,Brasil,201910,outubro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
480,1,Brasil,30,Número-índice,5259.7600000000000,1,Brasil,201911,novembro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
481,1,Brasil,30,Número-índice,5320.2500000000000,1,Brasil,201912,dezembro 2019,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
482,1,Brasil,30,Número-índice,5331.4200000000000,1,Brasil,202001,janeiro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
483,1,Brasil,30,Número-índice,5344.7500000000000,1,Brasil,202002,fevereiro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
484,1,Brasil,30,Número-índice,5348.4900000000000,1,Brasil,202003,março 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
485,1,Brasil,30,Número-índice,5331.9100000000000,1,Brasil,202004,abril 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
486,1,Brasil,30,Número-índice,5311.6500000000000,1,Brasil,202005,maio 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
487,1,Brasil,30,Número-índice,5325.4600000000000,1,Brasil,202006,junho 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
488,1,Brasil,30,Número-índice,5344.6300000000000,1,Brasil,202007,julho 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
489,1,Brasil,30,Número-índice,5357.4600000000000,1,Brasil,202008,agosto 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
490,1,Brasil,30,Número-índice,5391.7500000000000,1,Brasil,202009,setembro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
491,1,Brasil,30,Número-índice,5438.1200000000000,1,Brasil,202010,outubro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
492,1,Brasil,30,Número-índice,5486.5200000000000,1,Brasil,202011,novembro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
493,1,Brasil,30,Número-índice,5560.5900000000000,1,Brasil,202012,dezembro 2020,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
494,1,Brasil,30,Número-índice,5574.4900000000000,1,Brasil,202101,janeiro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
495,1,Brasil,30,Número-índice,5622.4300000000000,1,Brasil,202102,fevereiro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
496,1,Brasil,30,Número-índice,5674.7200000000000,1,Brasil,202103,março 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
497,1,Brasil,30,Número-índice,5692.3100000000000,1,Brasil,202104,abril 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
498,1,Brasil,30,Número-índice,5739.5600000000000,1,Brasil,202105,maio 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
499,1,Brasil,30,Número-índice,5769.9800000000000,1,Brasil,202106,junho 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
500,1,Brasil,30,Número-índice,5825.3700000000000,1,Brasil,202107,julho 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
501,1,Brasil,30,Número-índice,5876.0500000000000,1,Brasil,202108,agosto 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
502,1,Brasil,30,Número-índice,5944.2100000000000,1,Brasil,202109,setembro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
503,1,Brasil,30,Número-índice,6018.5100000000000,1,Brasil,202110,outubro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
504,1,Brasil,30,Número-índice,6075.6900000000000,1,Brasil,202111,novembro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
505,1,Brasil,30,Número-índice,6120.0400000000000,1,Brasil,202112,dezembro 2021,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
506,1,Brasil,30,Número-índice,6153.0900000000000,1,Brasil,202201,janeiro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
507,1,Brasil,30,Número-índice,6215.2400000000000,1,Brasil,202202,fevereiro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
508,1,Brasil,30,Número-índice,6315.9300000000000,1,Brasil,202203,março 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
509,1,Brasil,30,Número-índice,6382.8800000000000,1,Brasil,202204,abril 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
510,1,Brasil,30,Número-índice,6412.8800000000000,1,Brasil,202205,maio 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
511,1,Brasil,30,Número-índice,6455.8500000000000,1,Brasil,202206,junho 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
512,1,Brasil,30,Número-índice,6411.9500000000000,1,Brasil,202207,julho 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
513,1,Brasil,30,Número-índice,6388.8700000000000,1,Brasil,202208,agosto 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
514,1,Brasil,30,Número-índice,6370.3400000000000,1,Brasil,202209,setembro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
515,1,Brasil,30,Número-índice,6407.9300000000000,1,Brasil,202210,outubro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
516,1,Brasil,30,Número-índice,6434.2000000000000,1,Brasil,202211,novembro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
517,1,Brasil,30,Número-índice,6474.0900000000000,1,Brasil,202212,dezembro 2022,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
518,1,Brasil,30,Número-índice,6508.4000000000000,1,Brasil,202301,janeiro 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
519,1,Brasil,30,Número-índice,6563.0700000000000,1,Brasil,202302,fevereiro 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
520,1,Brasil,30,Número-índice,6609.6700000000000,1,Brasil,202303,março 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
521,1,Brasil,30,Número-índice,6649.9900000000000,1,Brasil,202304,abril 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
522,1,Brasil,30,Número-índice,6665.2800000000000,1,Brasil,202305,maio 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
523,1,Brasil,30,Número-índice,6659.9500000000000,1,Brasil,202306,junho 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
524,1,Brasil,30,Número-índice,6667.9400000000000,1,Brasil,202307,julho 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
525,1,Brasil,30,Número-índice,6683.2800000000000,1,Brasil,202308,agosto 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
526,1,Brasil,30,Número-índice,6700.6600000000000,1,Brasil,202309,setembro 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
527,1,Brasil,30,Número-índice,6716.7400000000000,1,Brasil,202310,outubro 2023,2266,IPCA - Número-índice (base: dezembro de 1993 = 100)
