data,variavel,grupo,ipca_acum_ano
2020-01-01,IPCA % acum. ano,1108019.Peixe - cavala,3.17
2020-01-01,IPCA % acum. ano,1108029.Peixe - cação,4.61
2020-01-01,IPCA % acum. ano,1108031.Peixe - merluza,1.27
2020-01-01,IPCA % acum. ano,1108032.Peixe - serra,-3.03
2020-01-01,IPCA % acum. ano,1108038.Peixe - pescada,6.3
2020-01-01,IPCA % acum. ano,1108045.Caranguejo,5.06
2020-01-01,IPCA % acum. ano,1108049.Peixe - castanha,2.47
2020-01-01,IPCA % acum. ano,1108052.Peixe - palombeta,-0.23
2020-01-01,IPCA % acum. ano,1108072.Peixe - curimatã,1.25
2020-01-01,IPCA % acum. ano,1108075.Peixe - salmão,-1.87
2020-01-01,IPCA % acum. ano,1108080.Peixe - tilápia,1.72
2020-01-01,IPCA % acum. ano,1108087.Peixe - tambaqui,-0.68
2020-01-01,IPCA % acum. ano,1108088.Peixe - dourada,11.74
2020-01-01,IPCA % acum. ano,1108092.Peixe - filhote,24.76
2020-01-01,IPCA % acum. ano,1108096.Peixe - peroá,9.4
2020-01-01,IPCA % acum. ano,1108112.Peixe - pintado,0.04
2020-01-01,IPCA % acum. ano,1108125.Peixe - aruanã,-0.45
2020-01-01,IPCA % acum. ano,1109.Carnes e peixes industrializados,1.64
2020-01-01,IPCA % acum. ano,1109002.Presunto,2.03
2020-01-01,IPCA % acum. ano,1109007.Salsicha,-0.17
2020-01-01,IPCA % acum. ano,1109008.Linguiça,1.41
2020-01-01,IPCA % acum. ano,1109010.Mortadela,0.81
2020-01-01,IPCA % acum. ano,1109012.Salame,2.71
2020-01-01,IPCA % acum. ano,1109023.Bacalhau,1.28
2020-01-01,IPCA % acum. ano,1109056.Carne-seca e de sol,3.13
2020-01-01,IPCA % acum. ano,1109058.Carne de porco salgada e defumada,0.13
2020-01-01,IPCA % acum. ano,1110.Aves e ovos,2.06
2020-01-01,IPCA % acum. ano,1110009.Frango inteiro,2.02
2020-01-01,IPCA % acum. ano,1110010.Frango em pedaços,2.56
2020-01-01,IPCA % acum. ano,1110044.Ovo de galinha,0.87
2020-01-01,IPCA % acum. ano,1111.Leites e derivados,-0.27
2020-01-01,IPCA % acum. ano,1111004.Leite longa vida,-0.38
2020-01-01,IPCA % acum. ano,1111008.Leite condensado,0.44
2020-01-01,IPCA % acum. ano,1111009.Leite em pó,0.51
2020-01-01,IPCA % acum. ano,1111011.Queijo,-0.61
2020-01-01,IPCA % acum. ano,1111019.Iogurte e bebidas lácteas,0.07
2020-01-01,IPCA % acum. ano,1111021.Requeijão,1.47
2020-01-01,IPCA % acum. ano,1111031.Manteiga,-0.95
2020-01-01,IPCA % acum. ano,1111038.Leite fermentado,-1.74
2020-01-01,IPCA % acum. ano,1112.Panificados,0.77
2020-01-01,IPCA % acum. ano,1112003.Biscoito,0.59
2020-01-01,IPCA % acum. ano,1112015.Pão francês,1.24
2020-01-01,IPCA % acum. ano,1112017.Pão doce,-1.27
2020-01-01,IPCA % acum. ano,1112018.Pão de forma,-0.61
2020-01-01,IPCA % acum. ano,1112019.Bolo,0.71
2020-01-01,IPCA % acum. ano,1112025.Pão de queijo,1.46
2020-01-01,IPCA % acum. ano,1113.Óleos e gorduras,1.25
2020-01-01,IPCA % acum. ano,1113013.Óleo de soja,2.74
2020-01-01,IPCA % acum. ano,1113014.Azeite de oliva,-1.19
2020-01-01,IPCA % acum. ano,1113040.Margarina,-0.02
2020-01-01,IPCA % acum. ano,1114.Bebidas e infusões,0.12
2020-01-01,IPCA % acum. ano,1114001.Suco de frutas,0.74
2020-01-01,IPCA % acum. ano,1114003.Polpa de fruta (congelada),-0.62
2020-01-01,IPCA % acum. ano,1114004.Açaí (emulsão),13.37
2020-01-01,IPCA % acum. ano,1114022.Café moído,-0.23
2020-01-01,IPCA % acum. ano,1114023.Café solúvel,1.11
2020-01-01,IPCA % acum. ano,1114083.Refrigerante e água mineral,-0.57
2020-01-01,IPCA % acum. ano,1114084.Cerveja,-0.49
2020-01-01,IPCA % acum. ano,1114085.Outras bebidas alcoólicas,-0.18
2020-01-01,IPCA % acum. ano,1114087.Vinho,-0.27
2020-01-01,IPCA % acum. ano,1114090.Suco em pó,-0.63
2020-01-01,IPCA % acum. ano,1114091.Chá mate (erva mate),0.02
2020-01-01,IPCA % acum. ano,1115.Enlatados e conservas,1.35
2020-01-01,IPCA % acum. ano,1115013.Alimento infantil,2.6
2020-01-01,IPCA % acum. ano,1115016.Palmito em conserva,0.53
2020-01-01,IPCA % acum. ano,1115017.Pepino em conserva,-0.08
2020-01-01,IPCA % acum. ano,1115039.Sardinha em conserva,1.77
2020-01-01,IPCA % acum. ano,1115050.Salsicha em conserva,-1.46
2020-01-01,IPCA % acum. ano,1115056.Sopa desidratada,0.11
2020-01-01,IPCA % acum. ano,1115057.Azeitona,0.86
2020-01-01,IPCA % acum. ano,1115058.Milho-verde em conserva,3.31
2020-01-01,IPCA % acum. ano,1115075.Atum em conserva,0.0
2020-01-01,IPCA % acum. ano,1116.Sal e condimentos,0.59
