,Mediana,Date,ipca_anual
2016-01,0.0473125,2020.0,0.0451734150050988
2016-02,0.05,2020.0,0.0451734150050988
2016-03,0.05,2020.0,0.0451734150050988
2016-04,0.049725,2020.0,0.0451734150050988
2016-05,0.0459047619047619,2020.0,0.0451734150050988
2016-06,0.045,2020.0,0.0451734150050988
2016-07,0.045,2020.0,0.0451734150050988
2016-08,0.045,2020.0,0.0451734150050988
2016-09,0.045,2020.0,0.0451734150050988
2016-10,0.045,2020.0,0.0451734150050988
2016-11,0.045,2020.0,0.0451734150050988
2016-12,0.045,2020.0,0.0451734150050988
2017-01,0.045,2020.0,0.0451734150050988
2017-02,0.045,2020.0,0.0451734150050988
2017-03,0.04406521739130435,2020.0,0.0451734150050988
2017-04,0.0425,2020.0,0.0451734150050988
2017-05,0.0425,2020.0,0.0451734150050988
2017-06,0.04238095238095238,2020.0,0.0451734150050988
2017-07,0.04,2020.0,0.0451734150050988
2017-08,0.04,2020.0,0.0451734150050988
2017-09,0.04,2020.0,0.0451734150050988
2017-10,0.04,2020.0,0.0451734150050988
2017-11,0.04,2020.0,0.0451734150050988
2017-12,0.04,2020.0,0.0451734150050988
2018-01,0.04,2020.0,0.0451734150050988
2018-02,0.04,2020.0,0.0451734150050988
2018-03,0.04,2020.0,0.0451734150050988
2018-04,0.04,2020.0,0.0451734150050988
2018-05,0.04,2020.0,0.0451734150050988
2018-06,0.04,2020.0,0.0451734150050988
2018-07,0.04,2020.0,0.0451734150050988
2018-08,0.04,2020.0,0.0451734150050988
2018-09,0.04,2020.0,0.0451734150050988
2018-10,0.04,2020.0,0.0451734150050988
2018-11,0.04,2020.0,0.0451734150050988
2018-12,0.04,2020.0,0.0451734150050988
2019-01,0.04,2020.0,0.0451734150050988
2019-02,0.04,2020.0,0.0451734150050988
2019-03,0.04,2020.0,0.0451734150050988
2019-04,0.04,2020.0,0.0451734150050988
2019-05,0.04,2020.0,0.0451734150050988
2019-06,0.03980526315789473,2020.0,0.0451734150050988
2019-07,0.03908260869565217,2020.0,0.0451734150050988
2019-08,0.038854545454545454,2020.0,0.0451734150050988
2019-09,0.03806190476190476,2020.0,0.0451734150050988
2019-10,0.036869565217391306,2020.0,0.0451734150050988
2019-11,0.035965000000000004,2020.0,0.0451734150050988
2019-12,0.03602857142857143,2020.0,0.0451734150050988
2020-01,0.03543181818181818,2020.0,0.0451734150050988
2020-02,0.03261666666666667,2020.0,0.0451734150050988
2020-03,0.03087727272727273,2020.0,0.0451734150050988
2020-04,0.023850000000000003,2020.0,0.0451734150050988
2020-05,0.016645,2020.0,0.0451734150050988
2020-06,0.015814285714285715,2020.0,0.0451734150050988
2020-07,0.01679565217391304,2020.0,0.0451734150050988
2020-08,0.016795238095238096,2020.0,0.0451734150050988
2020-09,0.01934285714285714,2020.0,0.0451734150050988
2020-10,0.026104761904761905,2020.0,0.0451734150050988
2020-11,0.033174999999999996,2020.0,0.0451734150050988
2020-12,0.04257272727272727,2020.0,0.0451734150050988
