,Mediana,Date,ipca_anual
2015-01,0.0499125,2019.0,0.0430603998411318
2015-02,0.048666666666666664,2019.0,0.0430603998411318
2015-03,0.04788636363636363,2019.0,0.0430603998411318
2015-04,0.047525,2019.0,0.0430603998411318
2015-05,0.045860000000000005,2019.0,0.0430603998411318
2015-06,0.045,2019.0,0.0430603998411318
2015-07,0.045,2019.0,0.0430603998411318
2015-08,0.045,2019.0,0.0430603998411318
2015-09,0.045,2019.0,0.0430603998411318
2015-10,0.045,2019.0,0.0430603998411318
2015-11,0.045,2019.0,0.0430603998411318
2015-12,0.045,2019.0,0.0430603998411318
2016-01,0.04675,2019.0,0.0430603998411318
2016-02,0.05,2019.0,0.0430603998411318
2016-03,0.05,2019.0,0.0430603998411318
2016-04,0.05,2019.0,0.0430603998411318
2016-05,0.04795238095238095,2019.0,0.0430603998411318
2016-06,0.045,2019.0,0.0430603998411318
2016-07,0.045,2019.0,0.0430603998411318
2016-08,0.045,2019.0,0.0430603998411318
2016-09,0.045,2019.0,0.0430603998411318
2016-10,0.045,2019.0,0.0430603998411318
2016-11,0.045,2019.0,0.0430603998411318
2016-12,0.045,2019.0,0.0430603998411318
2017-01,0.045,2019.0,0.0430603998411318
2017-02,0.045,2019.0,0.0430603998411318
2017-03,0.04428695652173913,2019.0,0.0430603998411318
2017-04,0.0425,2019.0,0.0430603998411318
2017-05,0.0425,2019.0,0.0430603998411318
2017-06,0.0425,2019.0,0.0430603998411318
2017-07,0.0425,2019.0,0.0430603998411318
2017-08,0.0425,2019.0,0.0430603998411318
2017-09,0.0425,2019.0,0.0430603998411318
2017-10,0.0425,2019.0,0.0430603998411318
2017-11,0.0425,2019.0,0.0430603998411318
2017-12,0.0425,2019.0,0.0430603998411318
2018-01,0.0425,2019.0,0.0430603998411318
2018-02,0.0425,2019.0,0.0430603998411318
2018-03,0.04179047619047619,2019.0,0.0430603998411318
2018-04,0.0405095238095238,2019.0,0.0430603998411318
2018-05,0.04010952380952381,2019.0,0.0430603998411318
2018-06,0.04079047619047618,2019.0,0.0430603998411318
2018-07,0.040999999999999995,2019.0,0.0430603998411318
2018-08,0.04106521739130435,2019.0,0.0430603998411318
2018-09,0.041426315789473686,2019.0,0.0430603998411318
2018-10,0.04211818181818182,2019.0,0.0430603998411318
2018-11,0.041725000000000005,2019.0,0.0430603998411318
2018-12,0.04053,2019.0,0.0430603998411318
2019-01,0.04006363636363637,2019.0,0.0430603998411318
2019-02,0.038755000000000005,2019.0,0.0430603998411318
2019-03,0.03884736842105264,2019.0,0.0430603998411318
2019-04,0.03986190476190476,2019.0,0.0430603998411318
2019-05,0.040518181818181814,2019.0,0.0430603998411318
2019-06,0.03878421052631579,2019.0,0.0430603998411318
2019-07,0.0380391304347826,2019.0,0.0430603998411318
2019-08,0.03710454545454545,2019.0,0.0430603998411318
2019-09,0.034871428571428574,2019.0,0.0430603998411318
2019-10,0.0331695652173913,2019.0,0.0430603998411318
2019-11,0.033705,2019.0,0.0430603998411318
2019-12,0.038709523809523805,2019.0,0.0430603998411318
