Date,ipca_anual
2013,0.03324877938897264
2014,0.06407616596391974
2015,0.10673497995621717
2016,0.06288055054224473
2017,0.029473499083459087
2018,0.03745482121827348
2019,0.04306039984113186
2020,0.04517341500509886
2021,0.10061054893257904
2022,0.05784841959607756
2023,0.02716985293916152
